date,lang,label_GR,v2_NWO,subplatform,counts,platform
2012-10-10,ger,0,0,SZ,5,legnews
2012-10-10,ger,0,1,SZ,1,legnews
2012-10-10,ger,1,0,SZ,1,legnews
2012-10-11,ger,0,0,SZ,4,legnews
2012-10-12,ger,0,0,SZ,2,legnews
2012-10-13,ger,1,0,SZ,1,legnews
2012-10-15,ger,0,0,SZ,4,legnews
2012-10-15,ger,1,0,SZ,1,legnews
2012-10-16,ger,0,0,SZ,1,legnews
2012-10-16,ger,1,0,SZ,1,legnews
2012-10-17,ger,0,0,SZ,1,legnews
2012-10-17,ger,1,0,SZ,1,legnews
2012-10-18,ger,0,0,SZ,2,legnews
2012-10-18,ger,1,0,SZ,2,legnews
2012-10-19,ger,0,0,SZ,2,legnews
2012-10-20,ger,0,0,SZ,2,legnews
2012-10-20,ger,1,0,SZ,1,legnews
2012-10-22,ger,0,0,SZ,3,legnews
2012-10-23,ger,0,0,SZ,1,legnews
2012-10-23,ger,1,0,SZ,1,legnews
2012-10-24,ger,0,0,SZ,2,legnews
2012-10-24,ger,1,0,SZ,1,legnews
2012-10-25,ger,0,0,SZ,2,legnews
2012-10-26,ger,0,0,SZ,6,legnews
2012-10-27,ger,0,0,SZ,13,legnews
2012-10-27,ger,1,0,SZ,3,legnews
2012-10-29,ger,0,0,SZ,4,legnews
2012-10-29,ger,1,0,SZ,1,legnews
2012-10-30,ger,0,0,SZ,7,legnews
2012-10-30,ger,1,0,SZ,6,legnews
2012-10-31,ger,0,0,SZ,9,legnews
2012-10-31,ger,1,0,SZ,1,legnews
2012-11-02,ger,0,0,SZ,3,legnews
2012-11-03,ger,0,0,SZ,2,legnews
2012-11-03,ger,1,0,SZ,3,legnews
2012-11-05,ger,0,0,SZ,1,legnews
2012-11-05,ger,1,0,SZ,1,legnews
2012-11-06,ger,1,0,SZ,2,legnews
2012-11-07,ger,0,0,SZ,1,legnews
2012-11-08,ger,0,0,SZ,3,legnews
2012-11-08,ger,1,0,SZ,1,legnews
2012-11-09,ger,0,0,SZ,1,legnews
2012-11-10,ger,0,0,SZ,15,legnews
2012-11-10,ger,1,0,SZ,7,legnews
2012-11-12,ger,0,0,SZ,9,legnews
2012-11-12,ger,1,0,SZ,6,legnews
2012-11-13,ger,0,0,SZ,10,legnews
2012-11-13,ger,1,0,SZ,1,legnews
2012-11-14,ger,0,0,SZ,4,legnews
2012-11-14,ger,1,0,SZ,2,legnews
2012-11-15,ger,0,0,SZ,14,legnews
2012-11-15,ger,1,0,SZ,2,legnews
2012-11-16,ger,0,0,SZ,12,legnews
2012-11-16,ger,1,0,SZ,8,legnews
2012-11-17,ger,0,0,SZ,8,legnews
2012-11-17,ger,1,0,SZ,1,legnews
2012-11-19,ger,0,0,SZ,11,legnews
2012-11-19,ger,1,0,SZ,2,legnews
2012-11-20,ger,0,0,SZ,6,legnews
2012-11-20,ger,1,0,SZ,6,legnews
2012-11-21,ger,0,0,SZ,6,legnews
2012-11-21,ger,1,0,SZ,2,legnews
2012-11-22,ger,0,0,SZ,6,legnews
2012-11-22,ger,1,0,SZ,5,legnews
2012-11-23,ger,0,0,SZ,8,legnews
2012-11-23,ger,1,0,SZ,3,legnews
2012-11-24,ger,0,0,SZ,8,legnews
2012-11-26,ger,0,0,SZ,10,legnews
2012-11-26,ger,1,0,SZ,2,legnews
2012-11-27,ger,0,0,SZ,8,legnews
2012-11-27,ger,1,0,SZ,4,legnews
2012-11-28,ger,0,0,SZ,14,legnews
2012-11-28,ger,1,0,SZ,1,legnews
2012-11-29,ger,0,0,SZ,7,legnews
2012-11-29,ger,1,0,SZ,2,legnews
2012-11-30,ger,0,0,SZ,10,legnews
2012-11-30,ger,1,0,SZ,5,legnews
2012-12-01,ger,0,0,SZ,5,legnews
2012-12-01,ger,1,0,SZ,1,legnews
2012-12-03,ger,0,0,SZ,10,legnews
2012-12-03,ger,1,0,SZ,4,legnews
2012-12-04,ger,0,0,SZ,5,legnews
2012-12-04,ger,1,0,SZ,3,legnews
2012-12-05,ger,0,0,SZ,8,legnews
2012-12-05,ger,1,0,SZ,6,legnews
2012-12-06,ger,0,0,SZ,6,legnews
2012-12-06,ger,1,0,SZ,8,legnews
2012-12-07,ger,0,0,SZ,8,legnews
2012-12-07,ger,1,0,SZ,1,legnews
2012-12-08,ger,0,0,SZ,9,legnews
2012-12-08,ger,1,0,SZ,2,legnews
2013-01-02,ger,0,0,SZ,7,legnews
2013-01-02,ger,1,0,SZ,2,legnews
2013-01-03,ger,0,0,SZ,3,legnews
2013-01-03,ger,1,0,SZ,3,legnews
2013-01-04,ger,0,0,SZ,5,legnews
2013-01-04,ger,1,0,SZ,2,legnews
