date,lang,label_GR,v2_NWO,subplatform,counts,platform
2011-07-14,eng,0,0,WP,8,legnews
2011-07-15,eng,0,0,WP,5,legnews
2011-07-17,eng,0,0,WP,5,legnews
2011-07-18,eng,0,0,WP,3,legnews
2011-07-19,eng,0,0,WP,3,legnews
2011-07-19,eng,1,0,WP,1,legnews
2011-07-20,eng,0,0,WP,3,legnews
2011-07-21,eng,0,0,WP,6,legnews
2011-07-21,eng,1,0,WP,1,legnews
2011-07-22,eng,0,0,WP,5,legnews
2011-07-22,eng,1,0,WP,1,legnews
2011-07-23,eng,1,0,WP,1,legnews
2011-07-24,eng,0,0,WP,1,legnews
2011-07-24,eng,1,0,WP,1,legnews
2011-07-25,eng,1,0,WP,1,legnews
2011-07-26,eng,0,0,WP,1,legnews
2011-07-26,eng,1,0,WP,2,legnews
2011-07-27,eng,0,0,WP,1,legnews
2011-07-27,eng,0,1,WP,1,legnews
2011-07-28,eng,0,0,WP,12,legnews
2011-07-29,eng,0,0,WP,4,legnews
2011-07-29,eng,1,0,WP,1,legnews
2011-07-30,eng,1,0,WP,1,legnews
2011-07-31,eng,0,0,WP,8,legnews
2011-08-02,eng,0,0,WP,1,legnews
2011-08-02,eng,1,0,WP,1,legnews
2011-08-03,eng,1,0,WP,1,legnews
2011-08-04,eng,0,0,WP,4,legnews
2011-08-05,eng,0,0,WP,5,legnews
2011-08-07,eng,0,0,WP,1,legnews
2011-08-08,eng,0,0,WP,4,legnews
2011-08-09,eng,0,0,WP,2,legnews
2011-08-10,eng,0,0,WP,2,legnews
2011-08-11,eng,0,0,WP,7,legnews
2011-08-11,eng,1,0,WP,1,legnews
2011-08-12,eng,0,0,WP,3,legnews
2011-08-12,eng,0,1,WP,1,legnews
2011-08-14,eng,0,0,WP,2,legnews
2011-08-17,eng,0,0,WP,1,legnews
2011-08-18,eng,0,0,WP,6,legnews
2011-08-19,eng,0,0,WP,7,legnews
2011-08-19,eng,1,0,WP,1,legnews
2011-08-20,eng,0,0,WP,1,legnews
2011-08-20,eng,1,0,WP,1,legnews
2011-08-21,eng,0,0,WP,3,legnews
2011-08-24,eng,0,0,WP,1,legnews
2011-08-25,eng,0,0,WP,6,legnews
2011-08-26,eng,0,0,WP,4,legnews
2011-08-26,eng,1,0,WP,1,legnews
2011-08-28,eng,0,0,WP,3,legnews
2011-08-29,eng,0,0,WP,1,legnews
2011-08-29,eng,1,0,WP,1,legnews
2011-08-30,eng,1,0,WP,1,legnews
2011-08-31,eng,0,0,WP,4,legnews
2011-09-01,eng,0,0,WP,8,legnews
2011-09-02,eng,0,0,WP,2,legnews
2011-09-02,eng,1,0,WP,1,legnews
2011-09-03,eng,0,0,WP,1,legnews
2011-09-04,eng,0,0,WP,5,legnews
2011-09-07,eng,0,0,WP,1,legnews
2011-09-08,eng,0,0,WP,7,legnews
2011-09-09,eng,0,0,WP,3,legnews
